X,Y,Z,body,wl,wr
41,36,9,1,0,0
41,36,10,1,0,0
41,36,11,1,0,0
41,36,12,1,0,0
41,36,13,1,0,0
41,36,14,1,0,0
41,36,15,1,0,0
41,36,16,1,0,0
41,36,17,1,0,0
41,36,18,1,0,0
41,36,19,1,0,0
41,36,20,1,0,0
42,20,17,1,0,0
42,20,18,1,0,0
42,21,9,1,0,0
42,21,10,1,0,0
42,21,11,1,0,0
42,21,12,1,0,0
42,21,13,1,0,0
42,21,14,1,0,0
42,21,15,1,0,0
42,21,16,1,0,0
42,21,17,1,0,0
42,21,18,1,0,0
42,21,19,1,0,0
42,22,10,1,0,0
42,22,11,1,0,0
42,22,12,1,0,0
42,22,13,1,0,0
42,22,14,1,0,0
42,22,15,1,0,0
42,22,16,1,0,0
42,22,17,1,0,0
42,22,18,1,0,0
42,22,19,1,0,0
42,22,20,1,0,0
42,23,10,1,0,0
42,23,11,1,0,0
42,23,12,1,0,0
42,23,13,1,0,0
42,23,14,1,0,0
42,23,15,1,0,0
42,23,16,1,0,0
42,23,17,1,0,0
42,23,18,1,0,0
42,23,19,1,0,0
42,23,20,1,0,0
42,23,21,1,0,0
42,24,10,1,0,0
42,24,11,1,0,0
42,24,12,1,0,0
42,24,13,1,0,0
42,24,14,1,0,0
42,24,15,1,0,0
42,24,16,1,0,0
42,24,17,1,0,0
42,24,18,1,0,0
42,24,19,1,0,0
42,24,20,1,0,0
42,24,21,1,0,0
42,24,22,1,0,0
42,25,11,1,0,0
42,25,12,1,0,0
42,25,13,1,0,0
42,25,14,1,0,0
42,25,15,1,0,0
42,25,16,1,0,0
42,25,17,1,0,0
42,25,18,1,0,0
42,25,19,1,0,0
42,25,20,1,0,0
42,25,21,1,0,0
42,25,22,1,0,0
42,26,11,1,0,0
42,26,12,1,0,0
42,26,13,1,0,0
42,26,14,1,0,0
42,26,15,1,0,0
42,26,16,1,0,0
42,26,17,1,0,0
42,26,18,1,0,0
42,26,19,1,0,0
42,26,20,1,0,0
42,26,21,1,0,0
42,26,22,1,0,0
42,27,11,1,0,0
42,27,12,1,0,0
42,27,13,1,0,0
42,27,14,1,0,0
42,27,15,1,0,0
42,27,16,1,0,0
42,27,17,1,0,0
42,27,18,1,0,0
42,27,19,1,0,0
42,27,20,1,0,0
42,27,21,1,0,0
42,27,22,1,0,0
42,28,11,1,0,0
42,28,12,1,0,0
42,28,13,1,0,0
42,28,14,1,0,0
42,28,15,1,0,0
42,28,16,1,0,0
42,28,17,1,0,0
42,28,18,1,0,0
42,28,19,1,0,0
42,28,20,1,0,0
42,28,21,1,0,0
42,28,22,1,0,0
42,29,10,1,0,0
42,29,11,1,0,0
42,29,12,1,0,0
42,29,13,1,0,0
42,29,14,1,0,0
42,29,15,1,0,0
42,29,16,1,0,0
42,29,17,1,0,0
42,29,18,1,0,0
42,29,19,1,0,0
42,29,20,1,0,0
42,29,21,1,0,0
42,29,22,1,0,0
42,30,8,1,0,0
42,30,9,1,0,0
42,30,10,1,0,0
42,30,11,1,0,0
42,30,12,1,0,0
42,30,13,1,0,0
42,30,14,1,0,0
42,30,15,1,0,0
42,30,16,1,0,0
42,30,17,1,0,0
42,30,18,1,0,0
42,30,19,1,0,0
42,30,20,1,0,0
42,30,21,1,0,0
42,30,22,1,0,0
42,31,8,1,0,0
42,31,9,1,0,0
42,31,10,1,0,0
42,31,11,1,0,0
42,31,12,1,0,0
42,31,13,1,0,0
42,31,14,1,0,0
42,31,15,1,0,0
42,31,16,1,0,0
42,31,17,1,0,0
42,31,18,1,0,0
42,31,19,1,0,0
42,31,20,1,0,0
42,31,21,1,0,0
42,31,22,1,0,0
42,31,23,1,0,0
42,32,8,1,0,0
42,32,9,1,0,0
42,32,10,1,0,0
42,32,11,1,0,0
42,32,12,1,0,0
42,32,13,1,0,0
42,32,14,1,0,0
42,32,15,1,0,0
42,32,16,1,0,0
42,32,17,1,0,0
42,32,18,1,0,0
42,32,19,1,0,0
42,32,20,1,0,0
42,32,21,1,0,0
42,32,22,1,0,0
42,32,23,1,0,0
42,32,24,1,0,0
42,33,8,1,0,0
42,33,9,1,0,0
42,33,10,1,0,0
42,33,11,1,0,0
42,33,12,1,0,0
42,33,13,1,0,0
42,33,14,1,0,0
42,33,15,1,0,0
42,33,16,1,0,0
42,33,17,1,0,0
42,33,18,1,0,0
42,33,19,1,0,0
42,33,20,1,0,0
42,33,21,1,0,0
42,33,22,1,0,0
42,33,23,1,0,0
42,33,24,1,0,0
42,33,25,1,0,0
42,34,7,1,0,0
42,34,8,1,0,0
42,34,9,1,0,0
42,34,10,1,0,0
42,34,11,1,0,0
42,34,12,1,0,0
42,34,13,1,0,0
42,34,14,1,0,0
42,34,15,1,0,0
42,34,16,1,0,0
42,34,17,1,0,0
42,34,18,1,0,0
42,34,19,1,0,0
42,34,20,1,0,0
42,34,21,1,0,0
42,34,22,1,0,0
42,34,23,1,0,0
42,35,6,1,0,0
42,35,7,1,0,0
42,35,8,1,0,0
42,35,9,1,0,0
42,35,10,1,0,0
42,35,11,1,0,0
42,35,12,1,0,0
42,35,13,1,0,0
42,35,14,1,0,0
42,35,15,1,0,0
42,35,16,1,0,0
42,35,17,1,0,0
42,35,18,1,0,0
42,35,19,1,0,0
42,35,20,1,0,0
42,35,21,1,0,0
42,35,22,1,0,0
42,35,23,1,0,0
42,36,7,1,0,0
42,36,8,1,0,0
42,36,9,1,0,0
42,36,10,1,0,0
42,36,11,1,0,0
42,36,12,1,0,0
42,36,13,1,0,0
42,36,14,1,0,0
42,36,15,1,0,0
42,36,16,1,0,0
42,36,17,1,0,0
42,36,18,1,0,0
42,36,19,1,0,0
42,36,20,1,0,0
42,43,28,1,0,0
42,43,29,1,0,0
43,20,17,1,0,0
43,20,18,1,0,0
43,20,19,1,0,0
43,21,10,1,0,0
43,21,11,1,0,0
43,21,12,1,0,0
43,21,13,1,0,0
43,21,14,1,0,0
43,21,15,1,0,0
43,21,16,1,0,0
43,21,17,1,0,0
43,21,18,1,0,0
43,21,19,1,0,0
43,21,20,1,0,0
43,22,10,1,0,0
43,22,11,1,0,0
43,22,12,1,0,0
43,22,13,1,0,0
43,22,14,1,0,0
43,22,15,1,0,0
43,22,16,1,0,0
43,22,17,1,0,0
43,22,18,1,0,0
43,22,19,1,0,0
43,22,20,1,0,0
43,22,21,1,0,0
43,23,10,1,0,0
43,23,11,1,0,0
43,23,12,1,0,0
43,23,13,1,0,0
43,23,14,1,0,0
43,23,15,1,0,0
43,23,16,1,0,0
43,23,17,1,0,0
43,23,18,1,0,0
43,23,19,1,0,0
43,23,20,1,0,0
43,23,21,1,0,0
43,23,22,1,0,0
43,24,11,1,0,0
43,24,12,1,0,0
43,24,13,1,0,0
43,24,14,1,0,0
43,24,15,1,0,0
43,24,16,1,0,0
43,24,17,1,0,0
43,24,18,1,0,0
43,24,19,1,0,0
43,24,20,1,0,0
43,24,21,1,0,0
43,24,22,1,0,0
43,25,11,1,0,0
43,25,12,1,0,0
43,25,13,1,0,0
43,25,14,1,0,0
43,25,15,1,0,0
43,25,16,1,0,0
43,25,17,1,0,0
43,25,18,1,0,0
43,25,19,1,0,0
43,25,20,1,0,0
43,25,21,1,0,0
43,25,22,1,0,0
43,26,11,1,0,0
43,26,12,1,0,0
43,26,13,1,0,0
43,26,14,1,0,0
43,26,15,1,0,0
43,26,16,1,0,0
43,26,17,1,0,0
43,26,18,1,0,0
43,26,19,1,0,0
43,26,20,1,0,0
43,26,21,1,0,0
43,26,22,1,0,0
43,27,11,1,0,0
43,27,12,1,0,0
43,27,13,1,0,0
43,27,14,1,0,0
43,27,15,1,0,0
43,27,16,1,0,0
43,27,17,1,0,0
43,27,18,1,0,0
43,27,19,1,0,0
43,27,20,1,0,0
43,27,21,1,0,0
43,27,22,1,0,0
43,28,10,1,0,0
43,28,11,1,0,0
43,28,12,1,0,0
43,28,13,1,0,0
43,28,14,1,0,0
43,28,15,1,0,0
43,28,16,1,0,0
43,28,17,1,0,0
43,28,18,1,0,0
43,28,19,1,0,0
43,28,20,1,0,0
43,28,21,1,0,0
43,28,22,1,0,0
43,29,8,1,0,0
43,29,9,1,0,0
43,29,10,1,0,0
43,29,11,1,0,0
43,29,12,1,0,0
43,29,13,1,0,0
43,29,14,1,0,0
43,29,15,1,0,0
43,29,16,1,0,0
43,29,17,1,0,0
43,29,18,1,0,0
43,29,19,1,0,0
43,29,20,1,0,0
43,29,21,1,0,0
43,29,22,1,0,0
43,30,7,1,0,0
43,30,8,1,0,0
43,30,9,1,0,0
43,30,10,1,0,0
43,30,11,1,0,0
43,30,12,1,0,0
43,30,13,1,0,0
43,30,14,1,0,0
43,30,15,1,0,0
43,30,16,1,0,0
43,30,17,1,0,0
43,30,18,1,0,0
43,30,19,1,0,0
43,30,20,1,0,0
43,30,21,1,0,0
43,30,22,1,0,0
43,30,23,1,0,0
43,31,8,1,0,0
43,31,9,1,0,0
43,31,10,1,0,0
43,31,11,1,0,0
43,31,12,1,0,0
43,31,13,1,0,0
43,31,14,1,0,0
43,31,15,1,0,0
43,31,16,1,0,0
43,31,17,1,0,0
43,31,18,1,0,0
43,31,19,1,0,0
43,31,20,1,0,0
43,31,21,1,0,0
43,31,22,1,0,0
43,31,23,1,0,0
43,31,24,1,0,0
43,32,7,1,0,0
43,32,8,1,0,0
43,32,9,1,0,0
43,32,10,1,0,0
43,32,11,1,0,0
43,32,12,1,0,0
43,32,13,1,0,0
43,32,14,1,0,0
43,32,15,1,0,0
43,32,16,1,0,0
43,32,17,1,0,0
43,32,18,1,0,0
43,32,19,1,0,0
43,32,20,1,0,0
43,32,21,1,0,0
43,32,22,1,0,0
43,32,23,1,0,0
43,32,24,1,0,0
43,32,25,1,0,0
43,33,7,1,0,0
43,33,8,1,0,0
43,33,9,1,0,0
43,33,10,1,0,0
43,33,11,1,0,0
43,33,12,1,0,0
43,33,13,1,0,0
43,33,14,1,0,0
43,33,15,1,0,0
43,33,16,1,0,0
43,33,17,1,0,0
43,33,18,1,0,0
43,33,19,1,0,0
43,33,20,1,0,0
43,33,21,1,0,0
43,33,22,1,0,0
43,33,23,1,0,0
43,34,6,1,0,0
43,34,7,1,0,0
43,34,8,1,0,0
43,34,9,1,0,0
43,34,10,1,0,0
43,34,11,1,0,0
43,34,12,1,0,0
43,34,13,1,0,0
43,34,14,1,0,0
43,34,15,1,0,0
43,34,16,1,0,0
43,34,17,1,0,0
43,34,18,1,0,0
43,34,19,1,0,0
43,34,20,1,0,0
43,34,21,1,0,0
43,34,22,1,0,0
43,35,7,1,0,0
43,35,8,1,0,0
43,35,9,1,0,0
43,35,10,1,0,0
43,35,11,1,0,0
43,35,12,1,0,0
43,35,13,1,0,0
43,35,14,1,0,0
43,35,15,1,0,0
43,35,16,1,0,0
43,35,17,1,0,0
43,35,18,1,0,0
43,35,19,1,0,0
43,35,20,1,0,0
43,35,21,1,0,0
43,35,22,1,0,0
